typepsc;stypepsc;nnn;lib_stype;surf;symb_surf;lin;symb_lin;pt;symb_pct;etiquette;classement
24;03;001;Voies de circulation à créer;S;PSC-S_24-03_001;L;PSC-L_24-03_001;;;24-03_001;sous-code
24;04;001;Voies de circulation à conserver;S;PSC-S_24-04_001;L;PSC-L_24-04_001;;;24-04_001;sous-code
25;00;001;Eléments de continuité écologique et trame verte et bleue;S;PSC-S_25-00_001;L;PSC-L_25-00_001;P;PSC-P_25-00_001;25-00_001;symbole
26;00;001;Secteur de performance énergétique;S;PSC-S_26-00_001;;;;;26-00 à 01_001;symbole
26;01;001;Secteur de performance énergétique renforcé;S;PSC-S_26-01_001;;;;;26-01_001;sous-code
27;00;001;Secteur d’aménagement numérique;S;PSC-S_27-00_001;;;;;27-00_001;symbole
28;00;001;Conditions de desserte;S;PSC-S_28-00_001;L;PSC-L_28-00_001;P;PSC-P_28-00_001;28-00 à 01_001;symbole
28;01;001;Conditions permettant une bonne desserte des terrains par les services publics de collecte des déchets;S;PSC-S_28-01_001;L;PSC-L_28-01_001;P;PSC-P_28-01_001;28-01_001;sous-code
29;00;001;Secteur avec densité minimale de construction;S;PSC-S_29-00_001;;;;;29-00 à 02_001;symbole
29;01;001;Secteur avec densité minimale de construction à proximité des transports collectifs;S;PSC-S_29-01_001;;;;;29-01_001;sous-code
29;02;001;Secteur de ZAC avec densité minimale de construction;S;PSC-S_29-02_001;;;;;29-02_001;sous-code
30;00;001;Majoration des volumes constructibles;S;PSC-S_30-00_001;;;;;30-00 à 04_001;symbole
30;01;001;Majoration des volumes constructibles pour l’habitation;S;PSC-S_30-01_001;;;;;30-01_001;sous-code
30;02;001;Majoration des volumes constructibles pour les programmes comportant des logements locatifs sociaux;S;PSC-S_30-02_001;;;;;30-02_001;sous-code
30;03;001;Majoration des volumes constructibles pour exemplarité énergétique ou environnementale;S;PSC-S_30-03_001;;;;;30-03_001;sous-code
30;04;001;Majoration des volumes constructibles pour les programmes comportant des logements intermédiaires;S;PSC-S_30-04_001;;;;;30-04_001;sous-code
31;00;001;Espaces remarquables du littoral;S;PSC-S_31-00_001;L;PSC-L_31-00_001;P;PSC-P_31-00_001;31-00 à 08_001;symbole
31;01;001;Dunes, landes côtières, plages et lidos, estrans, falaises et abords;S;PSC-S_31-01_001;L;PSC-L_31-01_001;P;PSC-P_31-01_001;31-01_001;sous-code
31;02;001;Forêts et zones boisées proches du rivage de la mer et des plans d’eau intérieurs d’une superficie supérieure à 1 000 hectares;S;PSC-S_31-02_001;L;PSC-L_31-02_001;P;PSC-P_31-02_001;31-02_001;sous-code
31;03;001;Ilots inhabités;S;PSC-S_31-03_001;L;PSC-L_31-03_001;P;PSC-P_31-03_001;31-03_001;sous-code
31;04;001;Parties naturelles des estuaires, des rias ou abers et des caps;S;PSC-S_31-04_001;L;PSC-L_31-04_001;P;PSC-P_31-04_001;31-04_001;sous-code
31;05;001;Marais, vasières, tourbières, plans d'eau, les zones humides et milieux temporairement immergés;S;PSC-S_31-05_001;L;PSC-L_31-05_001;P;PSC-P_31-05_001;31-05_001;sous-code
31;06;001;Milieux abritant des concentrations naturelles d'espèces animales ou végétales;S;PSC-S_31-06_001;L;PSC-L_31-06_001;P;PSC-P_31-06_001;31-06_001;sous-code
31;07;001;Parties naturelles des sites inscrits ou classés;S;PSC-S_31-07_001;L;PSC-L_31-07_001;P;PSC-P_31-07_001;31-07_001;sous-code
31;08;001;Formations géologiques;S;PSC-S_31-08_001;L;PSC-L_31-08_001;P;PSC-P_31-08_001;31-08_001;sous-code
32;00;001;Exclusion protection de plans d’eau de faible importance;S;PSC-S_32-00_001;;;;;32-00_001;symbole
33;00;001;Secteur de dérogation aux protections des rives des plans d'eau en zone de montagne;S;PSC-S_33-00_001;L;PSC-L_33-00_001;;;33-00_001;symbole
34;00;001;Espaces, paysage et milieux caractéristiques du patrimoine naturel et culturel montagnard à préserver;S;PSC-S_34-00_001;L;PSC-L_34-00_001;P;PSC-P_34-00_001;34-00_001;symbole
35;00;001;Terres nécessaires au maintien et au développement des activités agricoles, pastorales et forestières à préserver;S;PSC-S_35-00_001;L;PSC-L_35-00_001;;;35-00_001;symbole
36;00;001;Mixité des destinations ou sous-destinations;S;PSC-S_36-00_001;;;;;36-00_001;symbole
37;00;001;Règles différenciées entre le rez-de-chaussée et les étages supérieurs des constructions;S;PSC-S_37-00_001;L;PSC-L_37-00_001;;;37-00 à 02_001;symbole
37;01;001;Règles différenciées pour le rez-de-chaussée en raison des risques inondations;S;PSC-S_37-01_001;L;PSC-L_37-01_001;;;37-01_001;sous-code
37;02;001;Règles différenciées pour mixité sociale et fonctionnelle;S;PSC-S_37-02_001;L;PSC-L_37-02_001;;;37-02_001;sous-code
38;00;001;Emprise au sol;S;PSC-S_38-00_001;;;;;38-00- à 98_001;symbole
38;01;001;Emprise au sol minimale;S;PSC-S_38-01_001;;;;;38-01_001;sous-code
38;02;001;Emprise au sol maximale;S;PSC-S_38-02_001;;;;;38-02_001;sous-code
38;97;001;Emprise au sol règles qualitatives;S;PSC-S_38-97_001;;;;;38-97_001;sous-code
38;98;001;Emprise au sol règles alternatives;S;PSC-S_38-98_001;;;;;38-98_001;sous-code
39;00;001;Hauteur;S;PSC-S_39-00_001;L;PSC-L_39-00_001;P;PSC-P_39-00_001;39-00 à 98_001;symbole
39;01;001;Hauteur minimale;S;PSC-S_39-01_001;L;PSC-L_39-01_001;P;PSC-P_39-01_001;39-01_001;sous-code
39;02;001;Hauteur maximale;S;PSC-S_39-02_001;L;PSC-L_39-02_001;P;PSC-P_39-02_001;39-02_001;sous-code
39;97;001;Hauteur règles qualitatives;S;PSC-S_39-97_001;L;PSC-L_39-97_001;P;PSC-P_39-97_001;39-97_001;sous-code
39;98;001;Hauteur règles alternatives;S;PSC-S_39-98_001;L;PSC-L_39-98_001;P;PSC-P_39-98_001;39-98_001;sous-code
40;00;001;Volumétrie;S;PSC-S_40-00_001;L;PSC-L_40-00_001;P;PSC-P_40-00_001;40-00 à 98_001;symbole
40;01;001;Volumétrie minimale;S;PSC-S_40-01_001;L;PSC-L_40-01_001;P;PSC-P_40-01_001;40-01_001;sous-code
40;02;001;Volumétrie maximale;S;PSC-S_40-02_001;L;PSC-L_40-02_001;P;PSC-P_40-02_001;40-02_001;sous-code
40;97;001;Règles volumétriques qualitatives;S;PSC-S_40-97_001;L;PSC-L_40-97_001;P;PSC-P_40-97_001;40-97_001;sous-code
40;98;001;Règles volumétriques alternatives;S;PSC-S_40-98_001;L;PSC-L_40-98_001;P;PSC-P_40-98_001;40-98_001;sous-code
41;00;001;Aspect extérieur;S;PSC-S_41-00_001;L;PSC-L_41-00_001;P;PSC-P_41-00_001;41-00 à 98_001;symbole
41;01;001;Aspect extérieur façades;S;PSC-S_41-01_001;L;PSC-L_41-01_001;P;PSC-P_41-01_001;41-01_001;sous-code
41;02;001;Aspect extérieur toitures;S;PSC-S_41-02_001;L;PSC-L_41-02_001;P;PSC-P_41-02_001;41-02_001;sous-code
41;03;001;Aspect extérieur clôtures;S;PSC-S_41-03_001;L;PSC-L_41-03_001;P;PSC-P_41-03_001;41-03_001;sous-code
41;98;001;Aspect extérieur règles alternatives;S;PSC-S_41-98_001;L;PSC-L_41-98_001;P;PSC-P_41-98_001;41-98_001;sous-code
42;00;001;Coefficient de biotope par surface;S;PSC-S_42-00_001;;;;;42-00_001;symbole
43;00;001;Réalisation d’espaces libres, plantations, aires de jeux et de loisir;S;PSC-S_43-00_001;L;PSC-L_43-00_001;P;PSC-P_43-00_001;43-00 à 03_001;symbole
43;01;001;Réalisation d’espaces libres,;S;PSC-S_43-01_001;L;PSC-L_43-01_001;P;PSC-P_43-01_001;43-01_001;sous-code
43;02;001;Réalisation d’aires de jeux et de loisirs;S;PSC-S_43-02_001;L;PSC-L_43-02_001;P;PSC-P_43-02_001;43-02_001;sous-code
43;03;001;Réglementation des plantations;S;PSC-S_43-03_001;L;PSC-L_43-03_001;P;PSC-P_43-03_001;43-03_001;sous-code
44;00;001;Stationnement;S;PSC-S_44-00_001;L;PSC-L_44-00_001;;;44-00 à 98_001;symbole
44;01;001;Stationnement minimal;S;PSC-S_44-01_001;L;PSC-L_44-01_001;;;44-01_001;sous-code
44;02;001;Stationnement maximal;S;PSC-S_44-02_001;L;PSC-L_44-02_001;;;44-02_001;sous-code
44;03;001;Caractéristiques et type de stationnement;S;PSC-S_44-03_001;L;PSC-L_44-03_001;;;44-03_001;sous-code
44;04;001;Minoration des règles de stationnement;S;PSC-S_44-04_001;L;PSC-L_44-04_001;;;44-04_001;sous-code
44;05;001;Réalisation d’aires de livraisons imposée;S;PSC-S_44-05_001;L;PSC-L_44-05_001;;;44-05_001;sous-code
44;98;001;Stationnement règles alternatives;S;PSC-S_44-98_001;L;PSC-L_44-98_001;;;44-98_001;sous-code
45;00;001;Secteur de ZAC avec surfaces de plancher déterminées;S;PSC-S_45-00_001;;;;;45-00_001;symbole
46;00;001;Constructibilité espace boisé antérieur au 20ème siècle;S;PSC-S_46-00_001;;;;;46-00_001;symbole
47;00;001;Desserte par les réseaux;S;PSC-S_47-00_001;L;PSC-L_47-00_001;P;PSC-P_47-00_001;47-00 à 05_001;symbole
47;01;001;Réseaux publics d'eau;S;PSC-S_47-01_001;L;PSC-L_47-01_001;P;PSC-P_47-01_001;47-01_001;sous-code
47;02;001;Réseaux publics d'électricité;S;PSC-S_47-02_001;L;PSC-L_47-02_001;P;PSC-P_47-02_001;47-02_001;sous-code
47;03;001;Réseaux publics d'assainissement;S;PSC-S_47-03_001;L;PSC-L_47-03_001;P;PSC-P_47-03_001;47-03_001;sous-code
47;04;001;Conditions de réalisation d'un assainissement non collectif;S;PSC-S_47-04_001;L;PSC-L_47-04_001;P;PSC-P_47-04_001;47-04_001;sous-code
47;05;001;Infrastructures et réseaux de communications électroniques;S;PSC-S_47-05_001;L;PSC-L_47-05_001;P;PSC-P_47-05_001;47-05_001;sous-code
48;00;001;Mesures pour limiter l'imperméabilisation des sols;S;PSC-S_48-00_001;L;PSC-L_48-00_001;P;PSC-P_48-00_001;48-00 à 01_001;symbole
48;01;001;Installations nécessaires à la gestion des eaux pluviales et du ruissellement;S;PSC-S_48-01_001;L;PSC-L_48-01_001;P;PSC-P_48-01_001;48-01_001;sous-code
49;00;001;Opération d'ensemble imposée en zone AU;S;PSC-S_49-00_001;;;;;49-00 à 02_001;symbole
49;01;001;Urbanisation par opération d'ensemble;S;PSC-S_49-01_001;;;;;49-01_001;sous-code
49;02;001;Urbanisation conditionnée à la réalisation des équipements internes à la zone;S;PSC-S_49-02_001;;;;;49-02_001;sous-code
50;00;001;Interdiction types d’activités, destinations, sous-destinations;S;PSC-S_50-00_001;L;PSC-L_50-00_001;P;PSC-P_50-00_001;50-00_001;symbole
51;00;001;Autorisation sous conditions types d’activités, destinations, sous-destinations;S;PSC-S_51-00_001;L;PSC-L_51-00_001;P;PSC-P_51-00_001;51-00_001;symbole
52;00;001;Infrastructures et équipements logistiques à préserver ou à développer en zones U et AU;S;PSC-S_52-00_001;L;PSC-L_52-00_001;P;PSC-P_52-00_001;52-00_001;symbole
53;00;001;dérogation à l’article L.111-6 pour l’implantation des constructions le long des grands axes routiers;S;PSC-S_53-00_001;L;PSC-L_53-00_001;;;53-00_001;symbole
54;01;001;Zone exposée au recul du trait de côte à l'horizon de trente ans;S;PSC-S_54-01_001;;;;;54-01_001;symbole
54;02;001;Zone exposée au recul du trait de côte à un horizon compris entre trente et cent ans;S;PSC-S_54-02_001;;;;;54-02_001;symbole
55;01;001;Secteur d’implantation d’installations de production d'énergies renouvelables, et leurs ouvrages de raccordement, soumises à conditions;S;PSC-S_55-01_001;;;;;55-01_001;symbole
55;02;001;Secteur d'exclusion d'installations de prod. d'énergies renouvelables;S;PSC-S_55-02_001;;;;;55-02_001;symbole
