typesup;lib_sup;symb_sup;d_symb_sup;etiquette;classement;application
PT2;PT2 - Servitudes de protection des centres radioélectriques d’émission et de réception contre les obstacles ou les perturbations électromagnétiques;PT2|gen|ass_primaire_ngf§xx;;;sous-code;
PT2;PT2 - Servitudes de protection des centres radioélectriques d’émission et de réception contre les obstacles ou les perturbations électromagnétiques;PT2|gen|ass_secondaire_sol§xx;Remplissage simple : motif de lignes\nAngle : 135°\nEpaisseur : 1,8\nIntervalle : 16\nCouleur : #807dff\nBordure : ligne continue\nEpaisseur : 2\nCouleur : #807dff;PT2|gen|ass_x;symbole;Symboles concernés :\n\nPT2|gen|ass_secondaire_sol§xx\nPT2|gen|ass_secondaire_ngf§xx\nPT2|gen|ass_speciale_sol§xx\nPT2|gen|ass_speciale_ngf§xx\nPT2|gen|ass_secteur_sol§xx\nPT2|gen|ass_secteur_ngf§xx\n\navec xx = valeur de la hauteur (sol) ou de l'altitude (ngf)
PT2;PT2 - Servitudes de protection des centres radioélectriques d’émission et de réception contre les obstacles ou les perturbations électromagnétiques;PT2|gen|ass_secondaire_ngf§xx;;;sous-code;
PT2;PT2 - Servitudes de protection des centres radioélectriques d’émission et de réception contre les obstacles ou les perturbations électromagnétiques;PT2|gen|ass_speciale_sol§xx;;;sous-code;
PT2;PT2 - Servitudes de protection des centres radioélectriques d’émission et de réception contre les obstacles ou les perturbations électromagnétiques;PT2|gen|ass_speciale_ngf§xx;;;sous-code;
PT2;PT2 - Servitudes de protection des centres radioélectriques d’émission et de réception contre les obstacles ou les perturbations électromagnétiques;PT2|gen|ass_secteur_sol§xx;;;sous-code;
PT2;PT2 - Servitudes de protection des centres radioélectriques d’émission et de réception contre les obstacles ou les perturbations électromagnétiques;PT2|gen|ass_secteur_ngf§xx;;;sous-code;
PT3;PT3 - Servitudes attachées aux réseaux de télécommunications;PT3|gen|ass;style de remplissage : pas de remplissage\nStyle de bordure : ligne continue\nLargeur de bordure : 1,5 pixel\nCouleur : #807dff;PT3|gen|ass;symbole;
T1;T1 - Servitudes de protection du domaine public ferroviaire;T1|gen_passageniveau|ass;Symbole de remplissage simple :\nCouleur fond : aucune\nContour : ligne simple\nCouleur contour : #000000\nLargeur contour : 1,5\nMotif de ligne\nAngle : 45°\nDistance 8\nEpaisseur : 1\nCouleur : #000000;T1|gen_x|ass;symbole;Symboles concernés :\n\nT1|gen_passageniveau|ass\nT1|gen_voieferree|ass
T1;T1 - Servitudes de protection du domaine public ferroviaire;T1|gen_voieferree|ass;;;sous-code;
T2;T2 - Servitude de survol au profit des téléphériques;T2|gen|ass_sol§xx;Style de remplissage : pas de remplissage\nStyle de bordure : ligne continue\nLargeur de bordure : 1,5\ncouleur : #000000;T2|gen|ass_x§xx;symbole;Symboles concernés :\n\nT2|gen|ass_sol§xx\nT2|gen|ass_ngf§xx\n\navec xx = valeur de la hauteur (sol) ou de l'altitude (ngf)
T2;T2 - Servitude de survol au profit des téléphériques;T2|gen|ass_ngf§xx;;;sous-code;
T3;T3 - Servitudes en tréfonds;T3|gen|ass;Symbole de remplissage simple :\nCouleur fond : aucune\nContour : ligne simple\nCouleur contour : #000000\nLargeur contour : 1,5\nMotif de ligne\nAngle : 135°\nDistance 8\nEpaisseur : 1\nCouleur : #000000;T3|gen|ass;symbole;
T4;T4 - Servitudes aéronautiques de balisage;T4|gen|ass_sol§xx;Style de remplissage : pas de remplissage\nStyle de bordure : ligne continue\nLargeur de bordure : 1,5\ncouleur : #000000;T4|gen|ass_x§xx;symbole;Symboles concernés :\n\nT4|gen|ass_sol§xx\nT4|gen|ass_ngf§xx\n\navec xx = valeur de la hauteur (sol) ou de l'altitude (ngf)
T4;T4 - Servitudes aéronautiques de balisage;T4|gen|ass_ngf§xx;;;sous-code;
T5;T5 - Servitudes aéronautiques de dégagement;T5|gen|ass_sol§xx;Bordure : ligne continue\nEpaisseur : 1,5 Couleur : #000000\nRemplissage : motif de points\nSymbole simple : batonnet\nTaille : 7 Couleur : #7F7F7F\nDistance horizontale : 15\nDistance verticale : 15;T5|gen|ass_x§xx;symbole;Symboles concernés :\n\nT5|gen|ass_sol§xx\nT5|gen|ass_ngf§xx\n\navec xx = valeur de la hauteur (sol) ou de l'altitude (ngf)
T5;T5 - Servitudes aéronautiques de dégagement;T5|gen|ass_ngf§xx;;;sous-code;
T6;T6 - Servitudes grevant les terrains nécessaires aux besoins de la navigation aérienne;T6|gen|ass;Contour :  Bordure : ligne continue Epaisseur : 1\nCouleur : #000000\nRemplissage : motif de points\nSymbole simple carré Taille 0,6 couleur : #000000\nDistance horizontale : 10 \nDistance verticale : 10;T6|gen|ass;symbole;
T7;T7 - Servitudes établies à l'extérieur des zones de dégagement;T7|gen|ass_sol§xx;Style de remplissage : pas de remplissage\nStyle de bordure : ligne continue\nLargeur de bordure : 1,5\ncouleur : #000000;T7|gen|ass_x§xx;symbole;Symboles concernés :\n\nT7|gen|ass_sol§xx\nT7|gen|ass_ngf§xx\n\navec xx = valeur de la hauteur (sol) ou de l'altitude (ngf)
T7;T7 - Servitudes établies à l'extérieur des zones de dégagement;T7|gen|ass_ngf§xx;;;sous-code;
T9;T9 - Servitudes relatives au transport par câble en milieu urbain;T9|gen|ass_passage;Style de remplissage : pas de remplissage\nStyle de bordure : ligne continue\nLargeur de bordure : 1,5\ncouleur : #000000;T9|gen|ass_x;symbole;Symboles concernés :\n\nT9|gen|ass_passage\nT9|gen|ass_survol\n\navec xx = valeur de la hauteur (sol) ou de l'altitude (ngf)
T9;T9 - Servitudes relatives au transport par câble en milieu urbain;T9|gen|ass_survol;;;sous-code;
